,Mkt-RF,SMB,HML
198004,3.95,1.05,1.03
198005,5.26,2.05,0.38
198006,2.98,1.66,-0.8
198007,6.51,4.1,-6.29
198008,1.75,3.9,-2.46
198009,2.19,0.96,-4.61
198010,1.04,2.39,-2.93
198011,9.6,-3.27,-8.11
198012,-4.46,-0.28,2.8
198101,-5.06,2.91,6.74
198102,0.61,-0.47,0.97
198103,3.67,3.34,0.61
198104,-2.16,4.5,2.28
198105,0.13,1.94,-0.43
198106,-2.34,-0.83,5.14
198107,-1.55,-2.07,-0.61
198108,-7.02,-1.95,4.71
198109,-7.19,-2.68,5.11
198110,4.92,2.13,-4.09
198111,3.4,-1.09,1.91
198112,-3.63,1.18,0.79
198201,-3.23,-1.25,3.19
198202,-5.86,0.46,6.09
198203,-1.82,-0.19,3.76
198204,3.24,1.64,-3.08
198205,-3.93,0.17,1.78
198206,-3.08,-0.43,1.56
198207,-3.2,0.91,0.07
198208,11.23,-4.28,1.09
198209,1.31,2.87,0.23
198210,11.3,2.38,-3.62
198211,4.68,4.63,-1.8
198212,0.56,-0.31,-0.06
198301,3.59,2.82,-0.72
198302,2.59,3.18,0.66
198303,2.81,1.75,2.06
198304,6.66,0.46,0.43
198305,0.51,6.2,-1.4
198306,3.07,0.93,-3.89
198307,-4.06,1.5,5.54
198308,-0.5,-4.29,5.59
198309,0.92,0.61,0.99
198310,-3.43,-3.55,4.96
198311,2.17,2.02,-0.73
198312,-1.77,-0.25,1.75
198401,-1.92,-0.35,7.48
198402,-4.77,-1.68,3.41
198403,0.65,0.1,0.53
198404,-0.51,-1.16,1.19
198405,-5.98,0.07,0.26
198406,1.81,-0.24,-2.75
198407,-2.72,-2.2,0.39
198408,10.27,-0.27,-1.74
198409,-0.8,0.15,5.25
198410,-0.84,-1.11,0.59
198411,-1.77,-0.72,3.87
198412,1.85,-0.48,-0.03
198501,7.97,3.28,-5.2
198502,1.22,0.63,-0.36
198503,-0.83,-1.07,4.01
198504,-0.96,0.09,3.6
198505,5.07,-2.3,-0.98
198506,1.27,0.48,0.38
198507,-0.72,2.83,-1.62
198508,-1.01,-0.3,2.34
198509,-4.51,-1.62,1.21
198510,4,-1.5,0.77
198511,6.46,0.19,-2.91
198512,3.88,-0.53,-1.46
198601,0.65,1.15,0.46
198602,7.14,-0.57,-0.63
198603,4.91,-0.54,-0.39
198604,-1.28,2.76,-2.81
198605,4.62,-1.36,-0.14
198606,1.06,-0.93,1.2
198607,-6.43,-3.43,4.66
198608,6.07,-4.16,3.54
198609,-8.59,2.4,3.23
198610,4.64,-2.53,-1.42
198611,1.17,-1.87,-0.02
198612,-3.26,0.19,0.36
198701,12.45,-1.89,-3.18
198702,4.38,3.45,-5.86
198703,1.63,0.5,1.66
198704,-2.09,-1.72,-0.36
198705,0.11,-0.53,0.22
198706,3.91,-2.03,1.13
198707,3.84,-0.57,0.94
198708,3.52,-0.85,-0.98
